date,track_id,race_date,race_number,post_position,race_type,conditions_of_race,purse_usa,distance,surface,ml_implied_prob,trainer_id,trainer_name,jockey_id,jockey_name,weight_carried,medication,equipment,registration_number,horse_name,sex,breed_type,foaling_date,foaling_year,foaling_month,sire_registration_number,sire,sires_sire_registration_number,sires_sire,dam_registration_number,dam,dams_sire_registration_number,dams_sire,dirt_pedigree,mud_pedigree,turf_pedigree,distance_pedigree,power,lifetime_top_figure,speed_figure_par,early_pace,last_pace,starts,wins,places,shows,track_condition,off_turf_flag,last_out_beyer,spotlight_beyer,jock_odds_rank,jock_actual_perf,jock_ae,trainer_odds_rank,trainer_actual_perf,trainer_ae,posterior_probability,class,trainer_change,jockey_change,trainer_strike_trailing_year,jockey_strike_trailing_year,combined_midpoint,pressure,pace_scenario,running_style,beyer_top,mph,hrn_power,hrn_power_rank,trainer_last_ten_impact,sire_sd_starts,sire_sd_strike,sire_sd_impact,post_rs_starts,post_rs_strike,post_rs_impact,jockey_rs_starts,jockey_rs_strike,jockey_rs_impact,trainer_sd_starts,trainer_sd_strike,trainer_sd_impact,jock_sdt_starts,jock_sdt_strike,jock_sdt_impact,blinker_status,lasix_status,race_type_compact,track_condition_bit,track_circuit,earnings,dirt_pedigree_starts,mud_pedigree_starts,turf_pedigree_starts,distance_pedigree_starts,turn_time,worked_since_last,combined_midpoint_par,posterior_prob_three,money_burner,starts_at_distance,wins_at_distance,places_at_distance,shows_at_distance,starts_on_surface,wins_on_surface,places_on_surface,shows_on_surface,starts_at_surf_dist,wins_at_surf_dist,places_at_surf_dist,shows_at_surf_dist,furlongs_since_last,trainer_starts_trailing_year,jockey_starts_trailing_year,winning_sibs,spotlight_v2,sib_earnings,furlongs_run,furlongs_per_day,distance_earnings,surface_earnings,surf_dist_earnings,spi,dpi,dosage_index,auction_price,bris_back_class,bris_back_speed,bris_run_style,bris_mud_speed,quirin_speed_points,avg_comp_level,bris_current_class,bris_prime_power,last_race_pace_rating_2f,last_race_pace_rating_4f,last_race_pace_rating_6f,last_race_pace_rating_8f,last_race_pace_rating_10f,last_race_late_pace_rating,last_race_rating,last_race_class_rating,last_race_speed_rating,sire_sales_avg_all_ages,sire_sales_avg_sale_age,horses_sales_rank,total_sold_by_sire_all_ages,total_sold_by_sire_sale_age,sire_stud_fee_foal_year,dams_standard_starts_index,sires_sire_spi,damsire_spi,damsire_avg_winning_dist,damsire_turf_win_pct,sires_sire_number_of_crops,bris_turf_class,bris_mud_class,bris_speed_avg_3_good,srtv_avg_3_good,avg_bris_early_pace1,avg_bris_early_pace2,avg_bris_late_pace,avg_bris_final_speed,avg_bris_race_rating,best_bris_earlypace1,best_bris_earlypace2,best_bris_late_pace,last_race_bris_race_shape_1_call,avg_class_last_3,best_bris_speed_dirt_fast,best_bris_speed_turf,best_bris_speed_off,best_bris_speed_distance,best_bris_speed_lifetime,best_bris_speed_cur_year,best_bris_speed_prior_yr,best_bris_speed_track,bris_dirt_pedigree_rtg,bris_mud_pedigree_rtg,bris_turf_pedigree_rtg,bris_dist_pedigree_rtg
20260627,CBY,2026-06-27,6,9,STK,,50000.0000,1760,T,0.2075,267982,Coty W. Rosin,147182,Eduardo Gallardo,121,   ,B    ,22007688,Sushi Man,G,TB,2022-04-06,2022,4,F0045006,Astern (AUS),99018651,Medaglia d'Oro,F0044970,Kitty Boo (GB),A2519970,Invincible Spirit (IRE),0.0935251798,0.1,0.1310679612,0.1179302046,111,110,103,111,66,10,4,3,0,   , ,51,81,0.371585,0.2485981308,0.84,0.501367,0.2210743802,0.7206180344,0.5384615385,1.43,0,0,0.1818181818,0.1869158878,12.34,7,2,Speed     ,81,72,60,3,-0.4658685083733872,412,0.13106796116,-0.021607981790724873,16,0.0625,-0.025131517726242447,28,0.17857142857,-0.1563839110071471,223,0.17040358744,-0.026367405620366324,243,0.18930041152,0.038890077807819834,B,O,STK,F,MW2,138357.0000,139,110,412,831,999.0,1,12.35,0.38461538461,0.7836605090080421,8,4,2,0,5,3,1,0,4,3,1,0,0.19047619047,253,321,0,111,34360.0000,225.82,0.310618,131357.0000,78500.0000,77500.0000,0.89,0.91,1.32,-1.0000,115.9,83,E    ,-1,8,112.8,113.6,136.22,76,60,68,-1,-1,98,111.6,114.0,81,-1.0000,-1.0000,-1,-1,-1,-1.0000,0.72,2.39,1.53,7.2,11.58,19,113.6,-1.0,82,100,60,68,98,81,111.2,114,115,98,-23,113.1,77,83,72,83,83,81,83,83,99,99,110,98
20260627,CBY,2026-06-27,3,3,STK,,50000.0000,1760,T,0.2964285714,267982,Coty W. Rosin,147182,Eduardo Gallardo,116,   ,     ,23015819,Clearly Authentic,F,TB,2023-04-30,2023,4,17013636,Authentic,05013934,Into Mischief,18013363,Clearly Smashing,13000328,Exaggerator,0.1713395639,0.1639344262,0.0929487179,0.1382113821,98,96,79,75,79,6,2,0,0,   , ,47,47,0.371585,0.2485981308,0.84,0.501367,0.2210743802,0.7206180344,0.3409090909,0.642,0,0,0.1818181818,0.1869158878,12.04,5,1,Midpack   ,47,54,42,2,-0.4658685083733872,312,0.09294871794,-0.18154505760170658,662,0.12688821752,-0.013607478673824835,166,0.14457831325,0.007861728857618822,223,0.17040358744,-0.026367405620366324,243,0.18930041152,0.038890077807819834, ,O,STK,F,MW2,30675.0000,321,122,312,861,999.0,1,12.05,0.29411764705,0.4680780497632663,4,2,0,0,3,2,0,0,2,2,0,0,0.24242424242,253,321,0,98,0.0000,168.64,0.429109,29100.0000,28675.0000,27300.0000,1.16,0.7,1.86,-1.0000,111.2,76,E/P  ,-1,4,108.1,111.2,116.39,78,72,72,-1,-1,85,108.5,111.2,76,-1.0000,-1.0000,-1,-1,-1,-1.0000,0.76,2.61,0.63,6.8,6.85,15,111.2,-1.0,75,101,72,72,85,76,108.2,86,90,105,-3,107.8,56,76,43,76,76,76,74,76,105,103,109,107
20260627,CBY,2026-06-27,7,7,STK,,30000.0000,1100,T,0.0922222222,14102,Tim P. Padilla,123440,Alonso Quinonez,125,L  ,B    ,18015612,Thealligatorhunter,G,TB,2018-03-09,2018,3,10015086,Overanalyze,97010858,Dixie Union,04032524,Garden Gloves,94021921,Stormy Atlantic,0.1411718443,0.1027732463,0.0677083333,0.1266314913,92,118,97,107,62,47,16,7,9,   , ,75,81,0.355879,0.1146919431,0.84,0.350283,0.1271585557,1.589991929,0.4736842105,1.665555,0,0,0.152892562,0.1495535714,12.22,4,1,Midpack   ,95,43,71,5,1.0958583602476426,192,0.06770833333,-0.3116295016091416,108,0.08333333333,-0.30590769020966047,114,0.07017543859,-0.347766394659617,79,0.07594936708,-0.4557793022659856,142,0.16197183098,0.08844630481325244,B,N,STK,F,MW2,547695.0000,2543,613,192,3601,22.92,0,12.25,0.0,0.6725110918911085,13,6,1,1,11,1,3,3,7,1,1,1,0.0,242,448,3,106,612212.0000,756.82,0.339991,146412.0000,58692.0000,35142.0000,0.8,1.44,3.0,-1.0000,114.2,90,E    ,-1,6,113.3,111.8,120.87,92,95,-1,-1,-1,74,113.8,112.7,77,-1.0000,-1.0000,-1,-1,-1,-1.0000,1.47,1.64,1.63,6.6,14.71,10,111.8,-1.0,81,101,-1,97,72,78,113.8,90,97,90,-4,112.9,98,93,92,93,98,78,90,88,102,101,104,101
20260627,CBY,2026-06-27,6,3,STK,,50000.0000,1760,T,0.051875,156466,Patrick E. Swan,163075,Fausto Henrique Da Silva,123,   ,B    ,22016119,Rockin His Sox Off,G,TB,2022-03-17,2022,3,97006248,Malibu Moon,89024958,A.P. Indy,13010196,Honey's Sox Appeal,96010577,Successful Appeal,0.1504115739,0.1467254408,0.1053736356,0.1351320189,79,97,103,100,54,9,2,2,1,   , ,69,69,0.316514,0.0970873786,0.84,0.416257,0.3095238095,1.3892431973,0.2790697674,0.683333,0,1,0.1666666667,0.1564885496,12.63,7,2,Tracker   ,69,72,102,7,0.7637184917912996,2382,0.1053736356,-0.11801764811874738,308,0.12987012987,-0.08398489634530548,71,0.18309859154,0.12720802633015693,52,0.0,-1.0,130,0.17692307692,0.0516902655382272,B,O,STK,F,MW2,68707.0000,4009,1588,2382,8673,23.17,0,12.65,0.75,1.1175419207195108,3,1,1,0,1,0,0,0,1,0,0,0,0.0,126,262,1,79,34924.0000,213.82,0.279138,30240.0000,1520.0000,1520.0000,1.7,1.18,3.8,-1.0000,107.8,60,E/P  ,75,8,-108.9,-1.0,109.56,88,81,68,-1,-1,81,109.1,113.3,73,-1.0000,-1.0000,-1,-1,-1,-1.0000,4.62,4.19,1.62,6.6,11.46,18,-1.0,-1.0,76,100,80,70,62,60,109.4,80,70,62,4,110.7,88,60,75,60,88,88,79,-1,108,108,106,107
20260627,CBY,2026-06-27,3,7,STK,,50000.0000,1760,T,0.1383333333,4087,Valorie Lund,173338,Manuel Americano,116,   ,     ,23012054,Mendelssohns Comet,F,TB,2023-05-28,2023,5,15014563,Mendelssohn,04026706,Scat Daddy,05011416,English Willow,92011597,Smart Strike,0.1618911175,0.1432664756,0.1267874166,0.138721351,72,69,79,49,61,5,2,0,1,   , ,35,35,0.57179,0.2935344828,0.84,0.322296,0.1746031746,0.6808035714,0.46875,0.72,0,0,0.1102941176,0.1922169811,12.45,5,1,Midpack   ,35,54,65,4,0.6340226721796183,1049,0.12678741658,0.024539523916561556,504,0.09523809523,-0.12748139332342712,102,0.14705882352,0.12192667797488999,774,0.09302325581,-0.14184559290300647,26,0.26923076923,0.04327799839838131, ,O,STK,F,MW2,26104.0000,698,349,1049,2487,999.0,1,12.5,0.75,0.3866536684014489,4,2,0,0,3,2,0,0,3,2,0,0,0.18348623853,136,848,4,72,554309.0000,133.0,0.340153,23929.0000,22806.0000,22806.0000,1.13,1.17,3.33,62000.0000,111.5,67,P    ,-1,3,109.4,111.5,110.18,85,64,63,-1,-1,80,109.3,111.5,67,46975.0000,32328.0000,11,134,83,35000.0000,0.05,2.39,2.68,7.6,13.92,8,111.5,-1.0,65,96,64,63,80,67,109.9,69,63,80,-1,109.6,66,67,0,67,67,67,66,-1,106,107,112,106
20260627,CBY,2026-06-27,7,4,STK,,30000.0000,1100,T,0.2964285714,190914,Larry Rivelli,117079,Jareth Loveberry,125,   ,B    ,22005130,Can't Deny It,G,TB,2022-02-20,2022,2,15008214,Justify,04026706,Scat Daddy,F0042778,Moth (IRE),R0013078,Galileo (IRE),0.1919831224,0.1688311688,0.1475409836,0.1770401107,110,122,97,113,72,8,4,0,0,   , ,94,94,0.483937,0.2382048331,0.84,0.736083,0.4104477612,0.8525778733,0.515625,2.847555,0,0,0.2621359223,0.1744966443,11.97,4,1,Tracker   ,94,43,30,1,-0.517249924979025,122,0.1475409836,-0.010094916910348695,113,0.14159292035,-0.05465635731598606,151,0.24503311258,0.2281579519588055,510,0.25882352941,-0.028948316057367474,60,0.16666666666,-0.06320023513983175,B, ,STK,F,MW2,177900.0000,474,77,122,723,999.0,0,11.95,0.28,0.35478709188632385,6,4,0,0,6,4,0,0,6,4,0,0,0.0,309,596,2,119,482674.0000,188.5,0.242912,175145.0000,175145.0000,175145.0000,3.17,2.23,1.89,135000.0000,117.9,96,E/P  ,-1,5,113.9,115.1,148.25,94,-1,-1,-1,-1,87,112.2,115.0,89,225031.0000,235701.0000,55,173,71,125000.0000,1.62,2.39,5.64,10.5,15.32,8,115.1,-1.0,92,102,96,98,82,87,114.3,105,111,92,-1,114.4,66,96,0,96,96,89,96,-1,113,112,121,111
20260627,CBY,2026-06-27,8,6,ALW,NW1X,29000.0000,1320,D,0.1509090909,14102,Tim P. Padilla,142402,Constantino Roman,120,L  ,     ,23004032,Nancy's Shawl,F,TB,2023-03-24,2023,3,13018649,Mohaymen,01006303,Tapit,08019777,Shawl,01005391,Medallist,0.1447776629,0.1029411765,0.0649350649,0.1346562721,71,75,64,83,40,7,1,2,1,   , ,0,55,0.351388,0.2010771993,0.84,0.350283,0.1271585557,1.589991929,0.2058823529,1.236781,0,0,0.152892562,0.1462585034,12.47,2,3,Midpack   ,55,23,55,3,1.0958583602476426,967,0.14477766287,0.024090341413677496,888,0.1509009009,0.05015734803176852,795,0.12578616352,-0.07078836257837329,1152,0.14409722222,-0.04529629841067395,494,0.13765182186,-0.08359888461238418, ,L,ALW,F,MW2,32335.0000,967,204,77,1411,24.04,0,12.5,0.0,1.8579185709371464,4,0,1,1,6,1,2,1,4,0,1,1,0.0,242,294,7,71,989916.0000,105.0,0.268542,9565.0000,31465.0000,9565.0000,0.94,-1.0,2.0,-1.0000,109.0,68,E/P  ,73,3,105.7,107.1,104.98,81,77,-1,-1,-1,70,106.0,106.5,68,-1.0000,-1.0000,-1,-1,-1,-1.0000,-1.0,2.85,1.1,6.5,-1.0,19,106.5,-1.0,69,96,87,79,74,62,105.7,92,85,76,0,105.7,68,68,73,21,73,68,73,73,102,101,106,103
20260627,CBY,2026-06-27,2,3,STK,,50000.0000,1760,T,0.1383333333,29986,Michael J. Maker,147182,Eduardo Gallardo,123,   ,B    ,22011978,Salty Senorita,F,TB,2022-05-14,2022,5,98002458,Speightstown,84021418,Gone West,15011502,Taking Aim,07008765,Trappe Shot,0.1560226354,0.197368421,0.1344040575,0.155602283,106,105,97,96,64,6,2,0,0,   , ,62,0,0.371585,0.2485981308,0.84,0.59608,0.2426383981,0.8258473695,0.3414634146,2.270286,0,1,0.1863592699,0.1869158878,12.31,5,1,Tracker   ,62,55,62,4,-0.40711413553738307,1183,0.13440405748,-0.03735705735164985,308,0.12987012987,-0.08398489634530548,81,0.18518518518,0.2556781887890527,6145,0.17331163547,0.03321464754448389,243,0.18930041152,0.038890077807819834,B,O,STK,F,MW2,109831.0000,1237,608,1183,3329,999.0,1,12.45,0.33333333333,0.48089455712163454,2,1,0,0,2,0,0,0,1,0,0,0,0.37142857142,1041,321,2,106,639120.0000,179.0,0.239946,78794.0000,7700.0000,6350.0000,2.22,4.27,5.33,170000.0000,114.5,86,E/P  ,-1,7,-112.0,114.5,137.15,92,94,95,-1,-1,74,111.5,115.7,83,209619.0000,285500.0000,18,47,24,90000.0000,1.51,2.69,0.95,6.5,10.37,22,114.5,-1.0,82,98,96,93,79,86,113.3,96,93,79,10,114.1,0,86,83,0,86,86,80,-1,111,111,114,108
20260627,CBY,2026-06-27,4,1,MSW,,23000.0000,1320,D,0.166,14102,Tim P. Padilla,123440,Alonso Quinonez,125,L  ,B    ,22002716,Neoteric,G,TB,2022-02-28,2022,2,13011698,Neolithic,99018620,Harlan's Holiday,11004190,Fazed,03013744,In Summation,0.1544850498,0.0967741935,0.1919191919,0.1595648232,77,88,74,69,74,15,0,4,2,   , ,51,51,0.355879,0.1146919431,0.84,0.350283,0.1271585557,1.589991929,0.0,1.255072,0,0,0.152892562,0.1495535714,12.59,1,1,Midpack   ,67,14,57,3,1.0958583602476426,602,0.15448504983,0.04503283881951736,1062,0.15819209039,0.03509302025616923,717,0.13110181311,0.010896511051614155,1152,0.14409722222,-0.04529629841067395,630,0.20317460317,0.13661014166875263,N,L,MSW,F,MW2,31777.0000,602,124,99,1103,23.45,1,12.65,0.0,0.0,8,0,2,1,11,0,3,1,8,0,2,1,0.0625,242,448,3,81,272995.0000,205.18,0.292696,16040.0000,23280.0000,16040.0000,1.04,0.6,3.0,11000.0000,111.1,82,P    ,-1,2,106.2,110.3,115.75,86,85,-1,-1,-1,86,106.5,111.1,82,20747.0000,31500.0000,6,15,9,5000.0000,0.65,1.61,0.78,6.1,-1.0,11,107.6,-1.0,77,95,81,80,90,79,106.1,87,85,94,-3,109.4,82,78,0,76,82,82,78,65,101,102,103,101
20260627,CBY,2026-06-27,1,5,MSW,,28000.0000,990,D,0.1185714286,976489,Nik G. Goodwin,131914,Betty Jo Williams,120,   ,     ,24005730,Marq Loantree,G,TB,2024-03-27,2024,3,11024135,Cairo Prince,06024486,Pioneerof the Nile,19012932,Final Marq,06022317,Get Stormy,0.1534672224,0.1540785498,0.1342412451,0.1480210478,-1,0,-1,-999,-999,0,0,0,0,   , ,-1,0,0.479769,0.0666666667,0.84,0.3821,0.1288659794,0.5968045113,0.5,0.5,0,0,0.1492537313,0.125,12.7,0,1,N/A       ,0,0,78,6,-1.0,2639,0.15346722243,-0.054394327295168354,252,0.11507936507,-0.06357012903755643,17,0.0,-1.0,68,0.13235294117,0.27167959462580304,61,0.01639344262,-0.7833215396870309, , ,MSW,F,MW2,0.0000,2639,662,514,4371,999.0,1,12.75,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,134,56,0,-1,0.0000,11.0,0.37931,0.0000,0.0000,0.0000,1.16,-1.0,1.0,-1.0000,-1.0,-1,NA   ,-1,0,-1.0,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0000,-1.0000,-1,-1,-1,-1.0000,-1.0,2.09,0.73,7.2,-1.0,10,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0,0,-1,102,103,105,99
